epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.9994,5.79068,0.23131,0.38617,5.02002,0.0033254,0.0033254,0.0033254
2,43.1067,3.38706,0.88468,0.98704,0.72117,0.00653887,0.00653887,0.00653887
3,62.7743,0.92935,0.95513,0.99867,0.17151,0.00963235,0.00963235,0.00963235
4,82.4682,0.59078,0.97408,1,0.08635,0.00946,0.00946,0.00946
5,102.197,0.4896,0.97175,1,0.07616,0.00928,0.00928,0.00928
6,121.481,0.43234,0.98239,1,0.05611,0.0091,0.0091,0.0091
7,141.766,0.3992,0.98637,0.99967,0.04423,0.00892,0.00892,0.00892
8,161.446,0.37321,0.9877,1,0.04498,0.00874,0.00874,0.00874
9,181.068,0.35554,0.97807,1,0.07819,0.00856,0.00856,0.00856
10,200.516,0.34502,0.98438,1,0.04168,0.00838,0.00838,0.00838
11,220.115,0.32664,0.98903,1,0.03237,0.0082,0.0082,0.0082
12,240.172,0.33137,0.98903,1,0.03094,0.00802,0.00802,0.00802
13,259.598,0.32694,0.99269,1,0.02132,0.00784,0.00784,0.00784
14,279.065,0.30656,0.99169,1,0.02164,0.00766,0.00766,0.00766
15,298.494,0.29748,0.99335,1,0.02181,0.00748,0.00748,0.00748
16,318.483,0.30331,0.99236,1,0.0201,0.0073,0.0073,0.0073
17,338.623,0.2848,0.99036,1,0.02559,0.00712,0.00712,0.00712
18,358.423,0.2856,0.99302,1,0.01948,0.00694,0.00694,0.00694
19,378.247,0.28286,0.99601,1,0.01506,0.00676,0.00676,0.00676
20,397.853,0.27992,0.99668,1,0.01274,0.00658,0.00658,0.00658
21,418.364,0.27455,0.99435,1,0.01201,0.0064,0.0064,0.0064
22,438.952,0.26636,0.99734,1,0.01013,0.00622,0.00622,0.00622
23,459.026,0.2657,0.99468,1,0.01438,0.00604,0.00604,0.00604
24,479.621,0.26036,0.99369,1,0.0126,0.00586,0.00586,0.00586
25,499.477,0.25174,0.99369,1,0.01291,0.00568,0.00568,0.00568
26,519.007,0.25406,0.99535,1,0.00992,0.0055,0.0055,0.0055
27,539.248,0.25221,0.99535,1,0.00904,0.00532,0.00532,0.00532
28,558.767,0.25544,0.99634,1,0.00904,0.00514,0.00514,0.00514
29,578.146,0.24905,0.99634,1,0.00844,0.00496,0.00496,0.00496
30,598.008,0.24329,0.99535,1,0.00881,0.00478,0.00478,0.00478
31,618.218,0.25072,0.99601,1,0.00868,0.0046,0.0046,0.0046
32,638.222,0.24146,0.99668,1,0.00824,0.00442,0.00442,0.00442
